Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2011-01-04 22:00:00,0,167.9900055,-12.72998657,89.7415969,2.777642955,0,0
2011-01-04 23:00:00,0,167.9900055,-13.0000061,90.25376716,2.529229068,0,0
2011-01-05 00:00:00,0,167.9900055,-13.25998535,90.68415816,2.357795714,0,0
2011-01-05 01:00:00,0,170.5200043,-13.53000488,91.17265721,2.270352421,0,0
2011-01-05 02:00:00,0,170.5200043,-13.62994995,91.32594853,2.23080705,0,0
2011-01-05 03:00:00,0,170.5200043,-13.72000732,91.41052619,2.231636175,0,0
2011-01-05 04:00:00,0,181.1999969,-13.82001343,91.55970898,2.286329017,0,0
2011-01-05 05:00:00,0,181.1999969,-13.67999878,91.83146292,2.397081453,0,0
2011-01-05 06:00:00,0,181.1999969,-13.54996338,92.16203687,2.55282192,0,0
2011-01-05 07:00:00,0,215.2899933,-13.41998901,92.47034885,2.755884613,0,0
2011-01-05 08:00:00,0,215.2899933,-12.65994873,91.88084069,2.561347266,0,0
2011-01-05 09:00:00,40.20899963,215.2899933,-11.88999023,90.97147364,2.386734086,0,0
2011-01-05 10:00:00,69.9710083,269.7600098,-11.13001099,89.93706589,2.225241665,0,0
2011-01-05 11:00:00,106.4769974,269.7600098,-10.00998535,90.92741711,2.554094773,0,0
2011-01-05 12:00:00,136.0370026,269.7600098,-8.879949951,91.11081454,2.876473496,0,0
2011-01-05 13:00:00,317.3859863,273.2999878,-7.759985352,90.76008388,3.206555675,0,0
2011-01-05 14:00:00,290.0069885,273.2999878,-6.690008545,89.72060721,3.120785043,0,0
2011-01-05 15:00:00,242.6580048,273.2999878,-5.620001221,88.32308044,3.186989292,0,0
2011-01-05 16:00:00,147.4600067,281.230011,-4.549993896,86.64509266,3.387108001,0,0
2011-01-05 17:00:00,53.87200165,281.230011,-4.780004883,87.73507643,3.167349137,0.0060264,0
2011-01-05 18:00:00,0,281.2300415,-5.009985352,88.83557372,3.090711979,0,0
2011-01-05 19:00:00,0,272.8200073,-5.229986572,89.88244204,3.17279059,0,0
2011-01-05 20:00:00,0,272.8200073,-5.440008545,91.07554163,3.11584662,0.0060264,0
2011-01-05 21:00:00,0,272.8200073,-5.639959717,92.21559439,3.264965534,0,0
2011-01-05 22:00:00,0,268.6099854,-5.840002441,93.3684554,3.582471178,0,0
2011-01-05 23:00:00,0,268.6099854,-6.059973145,93.09955528,3.785723076,0,0
2011-01-06 00:00:00,0,268.6099854,-6.279974365,92.79399432,4.071179254,0,0
2011-01-06 01:00:00,0,256.519989,-6.499975586,92.45433564,4.421425063,0,0
2011-01-06 02:00:00,0,256.519989,-6.940008545,91.98552507,4.706187363,0,0
2011-01-06 03:00:00,0,256.519989,-7.380010986,91.39314235,5.013272336,0,0
2011-01-06 04:00:00,0,255.1999969,-7.820013428,90.66420867,5.353027133,0,0
2011-01-06 05:00:00,0,255.1999969,-8.15994873,90.21846673,5.263430489,0,0
2011-01-06 06:00:00,0,255.1999969,-8.509985352,89.76766574,5.181891519,0,0
2011-01-06 07:00:00,0,261.6199951,-8.850012207,89.16154779,5.121913587,0,0
2011-01-06 08:00:00,0,261.6199951,-8.940008545,88.97277585,5.030010103,0,0
2011-01-06 09:00:00,28.14500046,261.6199951,-9.040014648,88.85267592,4.949313131,0,0
2011-01-06 10:00:00,148.8730011,239.4600067,-9.130010986,88.65143315,4.871816843,0,0
2011-01-06 11:00:00,226.5399933,239.4600067,-8.629949951,87.0638857,5.164261794,0,0
2011-01-06 12:00:00,289.5299988,239.4600067,-8.129949951,85.47976628,5.455501901,0,0
2011-01-06 13:00:00,414.7569885,187.8500061,-7.620001221,83.84529549,5.760564203,0,0
2011-01-06 14:00:00,379.3640137,187.8500061,-7.739996338,83.30396426,6.135315639,0,0
2011-01-06 15:00:00,318.0079956,187.8500061,-7.859991455,82.74718154,6.502338057,0,0
2011-01-06 16:00:00,181.3399963,173.1799927,-7.979956055,82.17915489,6.878328271,0,0
2011-01-06 17:00:00,67.61400604,173.1799927,-8.970007324,83.9765141,6.398757607,0,0
2011-01-06 18:00:00,0,173.1799927,-9.970007324,85.6581465,5.932048711,0,0
2011-01-06 19:00:00,0,185.4400024,-10.95999756,87.03240246,5.476175517,0,0
2011-01-06 20:00:00,0,185.4400024,-11.51999512,88.09110196,4.862447885,0,0
2011-01-06 21:00:00,0,185.4400024,-12.09000244,89.15700403,4.264106038,0,0
2011-01-06 22:00:00,0,189.1499939,-12.65,90.08508032,3.66869174,0.001728,0
2011-01-06 23:00:00,0,189.1499939,-12.7999939,90.3124777,3.610387721,0,0
2011-01-07 00:00:00,0,189.1499939,-12.94995728,90.53334097,3.565851905,0,0
2011-01-07 01:00:00,0,205.9600067,-13.10001221,90.74840568,3.507549031,0,0
2011-01-07 02:00:00,0,205.9600067,-13.04001465,90.05680147,3.20669617,0,0
2011-01-07 03:00:00,0,205.9600067,-12.98996582,89.44233682,2.912181379,0,0
2011-01-07 04:00:00,0,247.1100006,-12.94000854,88.83232891,2.613350426,0,0
2011-01-07 05:00:00,0,247.1100006,-12.70999756,88.76672979,2.956112372,0,0
2011-01-07 06:00:00,0,247.1100006,-12.47998657,88.67566208,3.343187194,0,0
2011-01-07 07:00:00,0,216.1300049,-12.2500061,88.55393059,3.776307805,0,0
2011-01-07 08:00:00,0,216.1300049,-12.07999268,88.17410746,3.900166753,0,0
2011-01-07 09:00:00,49.22000122,216.1300049,-11.91998901,87.85843202,4.057893619,0,0
2011-01-07 10:00:00,163.1060028,194.1399994,-11.75998535,87.52951887,4.24571549,0,0
2011-01-07 11:00:00,248.1439972,194.1399994,-11.13995972,84.60830285,4.871026567,0,0
2011-01-07 12:00:00,317.2290039,194.1399994,-10.50995483,81.72488701,5.509346643,0,0
2011-01-07 13:00:00,148.9380035,251.2200012,-9.889990234,79.00837025,6.146039283,0,0
2011-01-07 14:00:00,136.3659973,251.2200012,-10.16000977,78.04451236,6.615746312,0,0
2011-01-07 15:00:00,114.5220032,251.2200012,-10.42999878,77.01100018,7.089499261,0.0015168,0
2011-01-07 16:00:00,81.36599731,238.0500031,-10.69998779,75.90525679,7.574126901,0,0
2011-01-07 17:00:00,30.95400047,238.0500031,-11.09000244,75.61374594,7.371974013,0,0
2011-01-07 18:00:00,0,238.0500031,-11.47995605,75.23391617,7.199027589,0,0
2011-01-07 19:00:00,0,244.4499969,-11.87000122,74.74828326,7.034806207,0,0
