datetime,depth,temp
2011-07-25 12:00:00,24.4,11.3
2011-08-04 12:00:00,0,28.1
2011-08-04 12:00:00,1,28.1
2011-08-04 12:00:00,2,27.9
2011-08-04 12:00:00,3,27.8
2011-08-04 12:00:00,4,27.8
2011-08-04 12:00:00,4.5,27.7
2011-08-04 12:00:00,5,27.5
2011-08-04 12:00:00,5.5,26.3
2011-08-04 12:00:00,6,25.5
2011-08-04 12:00:00,6.5,24.8
2011-08-04 12:00:00,7,23.8
2011-08-04 12:00:00,8,21.8
2011-08-04 12:00:00,9,19.9
2011-08-04 12:00:00,10,17.8
2011-08-04 12:00:00,11,16.3
2011-08-04 12:00:00,12,15.4
2011-08-04 12:00:00,13,14.8
2011-08-04 12:00:00,14,13.8
2011-08-04 12:00:00,15,13.1
2011-08-04 12:00:00,16,12.7
2011-08-04 12:00:00,17,12.3
2011-08-04 12:00:00,18,11.6
2011-08-04 12:00:00,19,11.6
2011-08-04 12:00:00,20,11.5
2011-08-04 12:00:00,21,11.4
2011-08-04 12:00:00,22,11.3
2011-08-04 12:00:00,23,11.3
2011-08-04 12:00:00,24,11.3
2011-08-04 12:00:00,24.4,11.3
2011-08-22 12:00:00,0,25.1
2011-08-22 12:00:00,1,25
2011-08-22 12:00:00,2,24.9
2011-08-22 12:00:00,3,24.9
2011-08-22 12:00:00,4,24.9
2011-08-22 12:00:00,5,24.7
2011-08-22 12:00:00,6,24.5
2011-08-22 12:00:00,7,24.3
2011-08-22 12:00:00,7.5,24.3
2011-08-22 12:00:00,8,24.3
2011-08-22 12:00:00,8.5,24.3
2011-08-22 12:00:00,9,23.6
2011-08-22 12:00:00,9.5,21.4
2011-08-22 12:00:00,10,19.5
2011-08-22 12:00:00,10.5,18.7
2011-08-22 12:00:00,11,16.9
2011-08-22 12:00:00,11.5,16.3
2011-08-22 12:00:00,12,15.3
2011-08-22 12:00:00,12.5,14.5
2011-08-22 12:00:00,13,14.1
2011-08-22 12:00:00,14,13.5
2011-08-22 12:00:00,15,12.9
2011-08-22 12:00:00,16,12.5
2011-08-22 12:00:00,17,12.4
2011-08-22 12:00:00,18,12.1
2011-08-22 12:00:00,19,11.9
2011-08-22 12:00:00,20,11.8
2011-08-22 12:00:00,21,11.7
2011-08-22 12:00:00,22,11.5
2011-08-22 12:00:00,23,11.4
2011-08-22 12:00:00,24,11.3
2011-09-12 12:00:00,0,22.5
2011-09-12 12:00:00,1,22.5
2011-09-12 12:00:00,2,22.4
2011-09-12 12:00:00,3,22.4
2011-09-12 12:00:00,4,22.4
2011-09-12 12:00:00,5,22.3
2011-09-12 12:00:00,6,22.2
2011-09-12 12:00:00,7,22.2
2011-09-12 12:00:00,8,22.1
2011-09-12 12:00:00,9,21.7
2011-09-12 12:00:00,10,21.6
2011-09-12 12:00:00,10.5,21.2
2011-09-12 12:00:00,11,20.2
2011-09-12 12:00:00,11.5,18.1
2011-09-12 12:00:00,12,16.4
2011-09-12 12:00:00,12.5,15.6
2011-09-12 12:00:00,13,14.9
2011-09-12 12:00:00,14,13.8
2011-09-12 12:00:00,15,13.1
2011-09-12 12:00:00,16,12.7
2011-09-12 12:00:00,17,12.2
2011-09-12 12:00:00,18,11.9
2011-09-12 12:00:00,19,11.7
2011-09-12 12:00:00,20,11.5
2011-09-12 12:00:00,21,11.5
2011-09-12 12:00:00,22,11.4
2011-09-12 12:00:00,23,11.4
2011-09-12 12:00:00,24,11.3
2011-09-12 12:00:00,24.5,11.3
2011-10-03 12:00:00,0,15.9
2011-10-03 12:00:00,1,15.9
2011-10-03 12:00:00,2,15.8
2011-10-03 12:00:00,3,15.8
2011-10-03 12:00:00,4,15.8
2011-10-03 12:00:00,5,15.7
2011-10-03 12:00:00,6,15.7
2011-10-03 12:00:00,7,15.7
2011-10-03 12:00:00,8,15.6
2011-10-03 12:00:00,9,15.6
2011-10-03 12:00:00,10,15.6
2011-10-03 12:00:00,11,15.6
2011-10-03 12:00:00,12,15.6
2011-10-03 12:00:00,13,15.6
2011-10-03 12:00:00,14,15.6
2011-10-03 12:00:00,15,15.5
