"PERMANENT_ID","lake.name","date","year","month","day","Z.max","sample.depth","sample.layer","TotalP.ug.L","MRP.ug.L","TFP.ug.L","TotalN","chl.a.ug.L","Fe"
131844130,"Cascade",2011-08-09,2011,8,9,5.7,4,"Ye",3.82,3.86,1.99,0.24,5.99,"0.09"
131844130,"Cascade",2012-07-10,2012,7,10,5.7,4,"Ye",4.29,3.5,1.436,0.468,3.21,"0.03"
131844130,"Cascade",2012-08-07,2012,8,7,5,5,"Ye",4.722,4.35,0.381,0.487,2.96,"0.118"
131843304,"Constable",1994-06-20,1994,6,20,3.8,3,"N",5,1.8,3,0.44,2.25,"0.14"
131843304,"Constable",1994-07-25,1994,7,25,3.9,3,"N",5.3,2.5,0.5,0.48,3.47,"0.26"
131843304,"Constable",1994-08-23,1994,8,23,4,3,"N",4.6,3,2,0.34,0.41,"0.24"
131843304,"Constable",1995-06-13,1995,6,13,3.9,3,"N",6.9,3.3,0.5,0.49,0.93,"0.05"
131843304,"Constable",1995-08-15,1995,8,15,4,3.5,"N",4.8,0.5,1.9,0.37,1.38,"0.16"
131843304,"Constable",1995-09-06,1995,9,6,4.4,3.5,"N",2.08,1.36,1.3,0.27,2.25,"0.24"
131843304,"Constable",1996-06-18,1996,6,18,4,2.5,"Ye",3.2,1.93,0.5,0.6,2.49,"0.12"
131843304,"Constable",1996-07-18,1996,7,18,3.9,3,"Ye",3.41,2.31,1.63,0.43,0.99,"0.23"
131843304,"Constable",1996-08-15,1996,8,15,3.7,3,"N",4.26,1.05,1.36,0.56,3.45,"0.33"
131843304,"Constable",1997-07-10,1997,7,10,4,3,"Ye",8.7,1.52,2.5,0.52,2.82,"0.2"
131843304,"Constable",1997-08-12,1997,8,12,4,3,"Ye",8.4,1.6,1.3,0.53,1.8,"0.28"
131843304,"Constable",1998-07-08,1998,7,8,4.2,2,"Ye",6.83,1,1.88,0.52,1.81,"0.35"
