datehour,variablelong,depth,value,hour,dates,day_night
2017-01-01T20:00:00Z,water_temp,40,26.205309229916875,20,2017-01-01,night
2017-01-01T20:00:00Z,water_temp,50,25.975769803661308,20,2017-01-01,night
2017-01-01T21:00:00Z,water_temp,10,26.623522941429194,21,2017-01-01,night
2017-01-01T21:00:00Z,water_temp,20,26.439376777853806,21,2017-01-01,night
2017-01-01T21:00:00Z,water_temp,30,26.368528155187036,21,2017-01-01,night
2017-01-01T21:00:00Z,water_temp,40,26.1719216036794,21,2017-01-01,night
2017-01-01T21:00:00Z,water_temp,50,25.97889870591227,21,2017-01-01,night
2017-01-01T22:00:00Z,water_temp,10,26.614096996587122,22,2017-01-01,night
2017-01-01T22:00:00Z,water_temp,20,26.43059152588013,22,2017-01-01,night
2017-01-01T22:00:00Z,water_temp,30,26.381705776391087,22,2017-01-01,night
2017-01-01T22:00:00Z,water_temp,40,26.15952329775826,22,2017-01-01,night
2017-01-01T22:00:00Z,water_temp,50,25.984832404055513,22,2017-01-01,night
2017-01-01T23:00:00Z,water_temp,10,26.59984022398552,23,2017-01-01,night
2017-01-01T23:00:00Z,water_temp,20,26.470512322917422,23,2017-01-01,night
2017-01-01T23:00:00Z,water_temp,30,26.387140282360157,23,2017-01-01,night
2017-01-01T23:00:00Z,water_temp,40,26.187554374426593,23,2017-01-01,night
2017-01-01T23:00:00Z,water_temp,50,25.98875904630117,23,2017-01-01,night
2017-01-02T00:00:00Z,water_temp,10,26.598039510427107,0,2017-01-02,night
2017-01-02T00:00:00Z,water_temp,20,26.52128332418131,0,2017-01-02,night
2017-01-02T00:00:00Z,water_temp,30,26.37771110906375,0,2017-01-02,night
2017-01-02T00:00:00Z,water_temp,40,26.207272117055588,0,2017-01-02,night
2017-01-02T00:00:00Z,water_temp,50,25.990625929514213,0,2017-01-02,night
2017-01-02T01:00:00Z,water_temp,10,26.601069955426176,1,2017-01-02,night
2017-01-02T01:00:00Z,water_temp,20,26.539002694939928,1,2017-01-02,night
2017-01-02T01:00:00Z,water_temp,30,26.36384019613094,1,2017-01-02,night
2017-01-02T01:00:00Z,water_temp,40,26.238516807199723,1,2017-01-02,night
2017-01-02T01:00:00Z,water_temp,50,25.980283418650952,1,2017-01-02,night
2017-01-02T02:00:00Z,water_temp,10,26.59924290151524,2,2017-01-02,night
2017-01-02T02:00:00Z,water_temp,20,26.570607801107112,2,2017-01-02,night
2017-01-02T02:00:00Z,water_temp,30,26.34807414261699,2,2017-01-02,night
2017-01-02T02:00:00Z,water_temp,40,26.260227885305145,2,2017-01-02,night
2017-01-02T02:00:00Z,water_temp,50,25.98155443772343,2,2017-01-02,night
2017-01-02T03:00:00Z,water_temp,10,26.597802356256896,3,2017-01-02,night
2017-01-02T03:00:00Z,water_temp,20,26.581067831116954,3,2017-01-02,night
2017-01-02T03:00:00Z,water_temp,30,26.333888732919952,3,2017-01-02,night
2017-01-02T03:00:00Z,water_temp,40,26.260990511665007,3,2017-01-02,night
2017-01-02T03:00:00Z,water_temp,50,25.960519824988353,3,2017-01-02,night
2017-01-02T04:00:00Z,water_temp,10,26.593243594713464,4,2017-01-02,night
2017-01-02T04:00:00Z,water_temp,20,26.58087449088056,4,2017-01-02,night
2017-01-02T04:00:00Z,water_temp,30,26.33884822257191,4,2017-01-02,night
2017-01-02T04:00:00Z,water_temp,40,26.252181181907538,4,2017-01-02,night
2017-01-02T04:00:00Z,water_temp,50,25.945901789167657,4,2017-01-02,night
2017-01-02T05:00:00Z,water_temp,10,26.588105188856343,5,2017-01-02,night
2017-01-02T05:00:00Z,water_temp,20,26.580804287340396,5,2017-01-02,night
2017-01-02T05:00:00Z,water_temp,30,26.340682842353008,5,2017-01-02,night
2017-01-02T05:00:00Z,water_temp,40,26.255512004253852,5,2017-01-02,night
2017-01-02T05:00:00Z,water_temp,50,25.94603336393877,5,2017-01-02,night
2017-01-02T06:00:00Z,water_temp,10,26.590142936657557,6,2017-01-02,night
2017-01-02T06:00:00Z,water_temp,20,26.589147663723583,6,2017-01-02,night
2017-01-02T06:00:00Z,water_temp,30,26.3437200283309,6,2017-01-02,night
2017-01-02T06:00:00Z,water_temp,40,26.255301643977855,6,2017-01-02,night
2017-01-02T06:00:00Z,water_temp,50,25.9773661808075,6,2017-01-02,night
2017-01-02T07:00:00Z,water_temp,10,26.594965168403313,7,2017-01-02,night
2017-01-02T07:00:00Z,water_temp,20,26.59197579079744,7,2017-01-02,night
2017-01-02T07:00:00Z,water_temp,30,26.3515238247214,7,2017-01-02,night
2017-01-02T07:00:00Z,water_temp,40,26.249122110572245,7,2017-01-02,night
2017-01-02T07:00:00Z,water_temp,50,26.05667670422378,7,2017-01-02,night
2017-01-02T08:00:00Z,water_temp,10,26.600586825879674,8,2017-01-02,night
2017-01-02T08:00:00Z,water_temp,20,26.593187866588913,8,2017-01-02,night
2017-01-02T08:00:00Z,water_temp,30,26.36117143582223,8,2017-01-02,night
2017-01-02T08:00:00Z,water_temp,40,26.244564264852237,8,2017-01-02,night
2017-01-02T08:00:00Z,water_temp,50,26.180750029997697,8,2017-01-02,night
2017-01-02T09:00:00Z,water_temp,10,26.603977458669245,9,2017-01-02,night
2017-01-02T09:00:00Z,water_temp,20,26.591914303064886,9,2017-01-02,night
2017-01-02T09:00:00Z,water_temp,30,26.358388623846206,9,2017-01-02,night
2017-01-02T09:00:00Z,water_temp,40,26.239901411811044,9,2017-01-02,night
2017-01-02T09:00:00Z,water_temp,50,26.06385697558013,9,2017-01-02,night
2017-01-02T10:00:00Z,water_temp,10,26.60248417679821,10,2017-01-02,day
2017-01-02T10:00:00Z,water_temp,20,26.58435221681574,10,2017-01-02,day
